SCRUB_ZIP_CODE,COUNTRY,DATE_VALID_STD,DOY_STD,MIN_TEMPERATURE_AIR_2M_F,AVG_TEMPERATURE_AIR_2M_F,MAX_TEMPERATURE_AIR_2M_F,MIN_TEMPERATURE_WETBULB_2M_F,AVG_TEMPERATURE_WETBULB_2M_F,MAX_TEMPERATURE_WETBULB_2M_F,MIN_TEMPERATURE_DEWPOINT_2M_F,AVG_TEMPERATURE_DEWPOINT_2M_F,MAX_TEMPERATURE_DEWPOINT_2M_F,MIN_TEMPERATURE_FEELSLIKE_2M_F,AVG_TEMPERATURE_FEELSLIKE_2M_F,MAX_TEMPERATURE_FEELSLIKE_2M_F,MIN_TEMPERATURE_WINDCHILL_2M_F,AVG_TEMPERATURE_WINDCHILL_2M_F,MAX_TEMPERATURE_WINDCHILL_2M_F,MIN_TEMPERATURE_HEATINDEX_2M_F,AVG_TEMPERATURE_HEATINDEX_2M_F,MAX_TEMPERATURE_HEATINDEX_2M_F,MIN_HUMIDITY_RELATIVE_2M_PCT,AVG_HUMIDITY_RELATIVE_2M_PCT,MAX_HUMIDITY_RELATIVE_2M_PCT,MIN_HUMIDITY_SPECIFIC_2M_GPKG,AVG_HUMIDITY_SPECIFIC_2M_GPKG,MAX_HUMIDITY_SPECIFIC_2M_GPKG,MIN_PRESSURE_2M_MB,AVG_PRESSURE_2M_MB,MAX_PRESSURE_2M_MB,MIN_PRESSURE_MEAN_SEA_LEVEL_MB,AVG_PRESSURE_MEAN_SEA_LEVEL_MB,MAX_PRESSURE_MEAN_SEA_LEVEL_MB,MIN_WIND_SPEED_10M_MPH,AVG_WIND_SPEED_10M_MPH,MAX_WIND_SPEED_10M_MPH,AVG_WIND_DIRECTION_10M_DEG,MIN_WIND_SPEED_80M_MPH,AVG_WIND_SPEED_80M_MPH,MAX_WIND_SPEED_80M_MPH,AVG_WIND_DIRECTION_80M_DEG,MIN_WIND_SPEED_100M_MPH,AVG_WIND_SPEED_100M_MPH,MAX_WIND_SPEED_100M_MPH,AVG_WIND_DIRECTION_100M_DEG,TOT_PRECIPITATION_IN,TOT_SNOWFALL_IN,MIN_CLOUD_COVER_TOT_PCT,AVG_CLOUD_COVER_TOT_PCT,MAX_CLOUD_COVER_TOT_PCT,MIN_RADIATION_SOLAR_TOTAL_WPM2,AVG_RADIATION_SOLAR_TOTAL_WPM2,MAX_RADIATION_SOLAR_TOTAL_WPM2,TOT_RADIATION_SOLAR_TOTAL_WPM2,PROBABILITY_OF_PRECIPITATION_PCT,PROBABILITY_OF_SNOW_PCT
1,US,9/10/2021,253,53.9,64.6,75.7,50.3,57,62.8,47,51.4,57.9,53.4,65.5,77.1,53.4,64.5,75.5,54.2,65.6,77.1,45,64,81,7,8.3,10.5,987,988.6,990.2,1017.4,1018.9,1020.6,0.8,4,7.3,97,1,5.4,14.2,110,0.9,5.6,15.3,113,0,0,0,7,76,0,257.4,828.3,6175.8,0,0
1,US,9/11/2021,254,56.8,68.8,81,54.8,61.9,69.3,52.1,57.8,63.4,57,70.7,82.4,55.6,68.4,80.8,57,70.7,82.4,51,69,90,8.4,10.5,12.8,987,988.7,990.4,1016.9,1018.9,1020.6,6.8,11.4,15.4,193,14.2,18.7,23.9,197,15.6,19.8,25.2,198,0,0,0,45,100,0,212,783.4,5087.4,0,0
1,US,9/12/2021,255,64.5,73.6,85.1,59.3,65.5,71.9,55.6,60.9,67.8,64.5,75.4,87.4,64.5,73.6,85,64.5,75.4,87.4,47,65,82,9.6,11.7,14.9,988.8,990.2,991.5,1018.8,1020.3,1021.6,7,11.2,14,214,15,18.8,21.1,216,16.2,20,22.4,217,0,0,0,14,91,0,247.8,803.7,5947.7,0,0
1,US,9/13/2021,256,64.2,74.8,85,63.2,67.4,71.9,62,63.5,65.9,64.3,76.4,87,64.3,74.8,85,64.3,76.4,87,47,70,94,12.2,12.8,14.1,986.8,989.3,991.5,1016.5,1019.3,1021.7,4,8,11,201,6.6,13.6,17.9,207,7,14.7,20.1,209,0,0,0,17,100,0,245.1,800.1,5881.9,5,0
1,US,9/14/2021,257,65.6,74.5,83.4,64.2,68.1,72.5,62.7,65,68.8,66.1,76.6,85.4,66.1,74.5,82.8,66.1,76.6,85.4,56,73,91,12.4,13.5,15.5,983,985.4,987.4,1012.8,1015.3,1017.4,6.7,9.3,12.4,196,13.1,15.5,18.1,202,13.8,16.5,19.6,203,0.03,0,3,61,100,0,219.9,708.1,5277.5,48,0
1,US,9/15/2021,258,53,65.1,78.3,53.2,63.5,68,52.6,62.6,67.4,52.1,65.4,76.3,52.1,64.8,72.1,54.1,65.7,76.3,80,92,97,8.6,12.5,14.7,980.9,983,986.3,1011,1013.2,1017,5.2,10.2,14.3,226,8,16.6,20.6,233,8.5,17.5,21.2,234,1.2,0,15,70,100,0,58.5,188.2,1403.6,42,0
1,US,9/16/2021,259,48.3,59.1,71.7,47.8,53.6,59.1,46.9,49.1,51.9,45.7,59,75.6,45.7,57.9,71.2,48.9,60.3,75.6,43,73,96,6.9,7.6,8.4,986.6,988.5,989.8,1017.3,1019.1,1020.2,7,8,9.8,36,11.3,14,15.9,38,11.5,15,17.7,39,0,0,0,3,33,0,256.4,780.5,6153,30,0
1,US,9/17/2021,260,50.2,61.1,74.4,49.6,54.3,60.3,44.4,48.7,52.3,49.1,60.9,76.1,49.1,60.1,74.1,51.3,61.8,76.1,41,66,90,6.3,7.5,8.5,988,989.3,990.7,1018.1,1019.8,1021.1,3.3,5.5,7.7,69,3.8,8.3,15,73,3.8,8.6,15.9,74,0,0,0,0,0,0,250.9,764.2,6021.4,20,0
1,US,9/18/2021,261,52.2,64.3,78,50.3,56.6,63.5,47.3,50.9,54.1,51.7,64,78.4,51.7,63.7,77.9,53.3,64.5,78.4,42,64,82,7,8.1,9.1,987.3,988.6,990.1,1017.3,1019,1020.8,5.5,7,8.9,129,8.2,11,15.3,134,8.4,11.5,16.1,135,0,0,0,0,0,0,247.6,756.2,5943,15,0
1,US,9/19/2021,262,58.9,70.7,84,55.1,63.3,69.4,50.5,59.1,62.9,59.6,71.8,84.6,58.6,70.5,83.8,59.6,71.8,84.6,46,68,89,7.9,11.1,12.5,987,988,989.1,1016.7,1018.1,1019.2,6.8,7.9,10.5,175,10.3,14.2,17.6,182,10.6,15.2,19.6,183,0,0,0,0,4,0,240.1,738.2,5762.3,15,0
